codigo_ibge,anomes_s,cebas_cnpj_entidade_s,cebas_razao_social_entidade_s,cebas_status_certificacao_s,cebas_cod_status_certificacao_i,cebas_dt_inicio_certificacao_s,cebas_dt_fim_certificacao_s,cebas_dt_extracao_dados_s
500270,202410,10.505.554/0001-02,ACA - AMIGOS DA CRIANÇA E DO ADOLESCENTE,VIGENTE,2,01/04/2018,31/12/2024,24/10/2024
260890,202410,10.506.731/0001-67,INSTITUTO PADRE LUIS CHECCHIN,VIGENTE,2,01/01/2021,31/12/2024,24/10/2024
430680,202410,10.524.306/0001-09,ASSOCIAÇÃO ABRIGO COMARCA DE ENCANTADO,VÁLIDA,1,30/09/2019,31/12/2023,24/10/2024
352720,202410,10.529.753/0001-42,ESPAÇO SOCIAL EMILIA DOLCI GERONIMI,VIGENTE,2,27/10/2020,31/12/2024,24/10/2024
412180,202410,00.105.328/0001-72,ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE RIBEIRAO CLARO,VÁLIDA,1,18/07/2017,31/12/2023,24/10/2024
355710,202410,01.053.700/0001-07,ASSOCIAÇÃO FRATERNA DA UNIÃO DE PAIS E AMIGOS DAS CRIANÇAS ESPECIAIS RECANTO TIA MARLENE,VIGENTE,2,10/11/2020,31/12/2024,24/10/2024
350320,202410,01.053.806/0001-00,PARA-D.V. - ASSOCIACAO PARA O APOIO E INTEGRACAO DO DEFICIENTE VISUAL,VIGENTE,2,29/12/2020,31/12/2026,24/10/2024
260950,202410,10.546.588/0001-37,CASA DE CARIDADE IMACULADA CONCEIÇÃO,VIGENTE,2,02/06/2020,31/12/2026,24/10/2024
350570,202410,10.550.725/0001-07,BARUERI AMPARO E UNIAO SOCIAL,VIGENTE,2,30/07/2018,31/12/2024,24/10/2024
261160,202410,10.554.426/0001-40,NUCLEO DE APOIO A CRIANCA COM CANCER,VIGENTE,2,13/04/2020,31/12/2024,24/10/2024
355250,202410,10.558.261/0001-85,INSTITUTO THADEU JOSÉ DE MORAES,VIGENTE,2,01/04/2018,31/12/2024,24/10/2024
261160,202410,10.569.648/0001-37,FUNDAÇÃO CENTRO DE EDUCAÇÃO COMUNITÁRIA E SOCIAL DO NE,VIGENTE,2,28/02/2022,27/02/2027,24/10/2024
314800,202410,10.573.537/0001-02,ASSOCIAÇÃO VEM-SER DE PROTEÇÃO E ASSISTENCIAL A CRIANÇA E AO ADOLESCENTE DE PATOS DE MINAS,VIGENTE,2,11/10/2022,10/10/2025,24/10/2024
354980,202410,01.057.441/0001-92,ASSOCIAÇÃO ESPÍRITA RANCHO DE LUZ PAULINO GARCIA,VÁLIDA,1,01/10/2017,31/12/2023,24/10/2024
432190,202410,10.580.349/0001-01,LAR ACOLHEDOR,VIGENTE,2,31/10/2021,31/12/2027,24/10/2024
310620,202410,10.581.414/0001-05,PROJETO SOCIAL BATISTA REGULAR,VIGENTE,2,02/02/2019,31/12/2025,24/10/2024
355030,202410,10.589.848/0001-51,INSTITUTO FOMENTANDO REDES E EMPREENDEDORISMO SOCIAL,VIGENTE,2,26/04/2021,31/12/2025,24/10/2024
310620,202410,10.603.335/0001-58,ABRIGO LAR CRISTAO DE BELO HORIZONTE,VIGENTE,2,28/09/2021,31/12/2025,24/10/2024
430515,202410,01.060.604/0001-96,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CERRO GRANDE,VIGENTE,2,11/05/2020,31/12/2024,24/10/2024
293230,202410,10.614.870/0001-04,ASSOCIAÇÃO REVITALIZANDO A EDUCAÇÃO PARA TRANSFORMAR AS REALIDADES SOCIAIS,VIGENTE,2,12/11/2021,11/11/2026,24/10/2024
420320,202410,10.618.455/0001-29,ASSOCIAÇÃO LAR MATERNAL BOM PASTOR,VIGENTE,2,11/10/2022,10/10/2025,24/10/2024
330600,202410,10.620.371/0001-20,ASSOCIAÇÃO TRIRRIENSE PARA INCLUSÃO DE PESSOAS PARALISADOS CEREBRAIS - LUZ DO AMANHECER,VIGENTE,2,31/10/2021,30/10/2026,24/10/2024
311860,202410,10.626.829/0001-58,ASSOCIACAO CUIDAR BEM/MG - ACB,VIGENTE,2,30/11/2020,31/12/2026,24/10/2024
410690,202410,00.106.307/0001-71,FEDERAÇÃO DAS ASSOCIAÇÕES DE PAIS E AMIGOS DOS EXCEPCIONAIS DO PARANÁ,VIGENTE,2,31/10/2021,31/12/2025,24/10/2024
530010,202410,10.631.249/0001-59,ASSOCIAÇÃO LAR  INFANTIL CHICO XAVIER,VIGENTE,2,21/12/2021,20/12/2026,24/10/2024
350520,202410,01.064.135/0001-83,CASA ABRIGO,VIGENTE,2,06/06/2019,31/12/2025,24/10/2024
317020,202410,01.064.576/0001-85,CASA DE HOSPEDAGEM BETESDA,VIGENTE,2,17/11/2021,31/12/2027,24/10/2024
421575,202410,10.647.541/0001-60,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS SÃO BERNARDINO,VÁLIDA,1,30/09/2019,31/12/2023,24/10/2024
320250,202410,10.653.530/0001-92,ASSOCIAÇÃO AMIGOS DA JUSTIÇA CIDADANIA EDUCAÇÃO E ARTE,VÁLIDA,1,02/08/2019,31/12/2023,24/10/2024
270670,202410,10.658.278/0001-04,NÚCLEO DE ATENÇÃO AOS DEFICIENTES DE PENEDO  NUDEPE,VIGENTE,2,18/06/2022,17/06/2027,24/10/2024
353650,202410,10.665.232/0001-12,CENTRO DE INTEGRAÇÃO SOCIAL E APRENDIZAGEM,VIGENTE,2,27/03/2021,31/12/2025,24/10/2024
520140,202410,00.106.940/0001-60,CENTRO DE FORMAÇÃO INTEGRAL - CENFI,VIGENTE,2,29/05/2020,31/12/2026,24/10/2024
530010,202410,10.711.824/0001-23,VILA DO PEQUENINO JESUS,VIGENTE,2,29/05/2021,31/12/2025,24/10/2024
510340,202410,10.718.071/0001-88,ASSOCIACAO MATOGROSSENSE DE PESQUISA E APOIO A ADOÇÃO - AMPARA,VIGENTE,2,29/06/2020,31/12/2026,24/10/2024
261110,202410,10.728.681/0001-62,FUNDACAO NILO COELHO,VIGENTE,2,20/02/2020,31/12/2024,24/10/2024
250750,202410,10.733.541/0001-82,CASA PEQUENO DAVI,VIGENTE,2,10/12/2021,09/12/2024,24/10/2024
430510,202410,10.733.963/0001-58,INAV INSTITUTO AUDIOVISAO,VIGENTE,2,30/09/2020,31/12/2024,24/10/2024
410305,202410,01.074.438/0001-87,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS  DE BOA VISTA DA APARECIDA,VÁLIDA,1,01/09/2019,31/12/2023,24/10/2024
310400,202410,10.758.975/0001-37,ASSOCIAÇÃO DE EQUOTERAPIA PROSSEGUIR DE ARAXÁ,VIGENTE,2,06/09/2024,05/09/2027,24/10/2024
354730,202410,10.793.127/0001-69,ASSOCIAÇÃO CRISTÃ CORRENTE DE LUZ,VIGENTE,2,27/03/2021,31/12/2027,24/10/2024
320013,202410,01.079.683/0001-87,ASSOCIAÇÃO PESTALOZZI DE ÁGUIA BRANCA,VIGENTE,2,30/01/2018,31/12/2024,24/10/2024
351110,202410,10.797.282/0001-53,ASSOCIAÇÃO RECOMEÇAR DE CATANDUVA,VIGENTE,2,31/08/2020,31/12/2024,24/10/2024
530010,202410,10.807.169/0001-01,CONFEDERAÇÃO NACIONAL DAS INSTITUIÇÕES DE APOIO E ASSISTENCIA A CRIANÇA E AO ADOLESCENTE COM CÂNCER,VIGENTE,2,28/09/2021,31/12/2027,24/10/2024
352940,202410,10.808.708/0001-27,CHACARA DAS FLORES EURIPEDES BARSANULFO,VÁLIDA,1,13/05/2019,31/12/2023,24/10/2024
430010,202410,10.812.322/0001-99,ASSOCIAÇÃO  BENEFICENTE AMOR PERFEITO,VIGENTE,2,30/07/2018,31/12/2024,24/10/2024
260960,202410,10.812.552/0001-58,ASSOCIAÇÃO NOSSA VOZ EM AÇÃO,VIGENTE,2,30/07/2018,31/12/2024,24/10/2024
410185,202410,10.820.740/0001-28,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ARIRANHA DO IVAÍ - APAE,VIGENTE,2,28/08/2021,31/12/2027,24/10/2024
330455,202410,10.832.372/0001-38,CENTRO DE DEFESA DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE - CEDECA RIO DE JANEIRO,VÁLIDA,1,20/12/2019,31/12/2023,24/10/2024
240325,202410,10.844.922/0001-39,INSTITUTO DE ASSISTÊNCIA SOCIAL E EDUCAÇÃO AMAR,VIGENTE,2,21/10/2021,31/12/2025,24/10/2024
510840,202410,10.846.821/0001-05,ASSOCIAÇÃO VARZEAGRANDENSE MADRE TEREZA DE CALCUTÁ,VIGENTE,2,11/05/2020,31/12/2024,24/10/2024
410710,202410,01.085.193/0001-93,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE DIAMANTE DO NORTE,VIGENTE,2,19/11/2020,31/12/2026,24/10/2024
355090,202410,10.857.129/0001-74,ASSOCIAÇÃO BENEFICENTE DE ENSINO PROFESSIONALIZANTE SÃO PAULO E MINAS,VIGENTE,2,06/09/2024,05/09/2027,24/10/2024
315590,202410,01.086.100/0001-45,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS RIO PRETO,VIGENTE,2,05/03/2018,31/12/2024,24/10/2024
431770,202410,10.898.012/0001-39,ASSOCIAÇÃO DE AMPARO AO IDOSO PADRE OLMIRO HARTMANN,VIGENTE,2,03/10/2019,31/12/2025,24/10/2024
310670,202410,10.899.630/0001-01,ASSOCIAÇÃO GUARDA MIRIM ALFERES TIRADENTES DE BETIM,VIGENTE,2,06/09/2024,05/09/2027,24/10/2024
110028,202410,10.926.286/0001-94,PRO-MENOR SÃO DANIEL COMBONI,VIGENTE,2,28/04/2018,31/12/2024,24/10/2024
251370,202410,10.941.315/0001-97,CENTRO DE FORMAÇÃO EDUCATIVO COMUNITÁRIO,VIGENTE,2,29/06/2021,31/12/2025,24/10/2024
261160,202410,10.943.561/0001-88,ORGANIZAÇÃO DE AUXÍLIO FRATERNO OAF DO RECIFE,VÁLIDA,1,17/10/2021,16/10/2024,24/10/2024
520870,202410,10.978.857/0001-34,ASSOCIAÇÃO MAHATMA GANDHI,VIGENTE,2,29/06/2018,31/12/2024,24/10/2024
261160,202410,10.998.292/0001-57,CENTRO DE INTEGRAÇÃO EMPRESA ESCOLA DE PERNAMBUCO,VIGENTE,2,15/05/2021,31/12/2025,24/10/2024
314760,202410,11.004.490/0001-10,LAR ESPERANÇA  E AMOR DE PASSA QUATRO,VIGENTE,2,11/06/2021,31/12/2027,24/10/2024
261160,202410,11.008.653/0001-33,INSTITUTO DAS FILHAS DE MARIA SERVAS DA CARIDADE,VÁLIDA,1,01/01/2020,31/12/2023,24/10/2024
261160,202410,11.011.129/0001-11,GRUPO UNIVERSITÁRIO DE REABILITAÇÃO INFANTIL,VIGENTE,2,15/10/2020,31/12/2024,24/10/2024
410720,202410,11.013.735/0001-76,APADV - ASSOCIAÇÃO DE PROTEÇÃO DOS AUTISTAS DE DOIS VIZINHOS,VIGENTE,2,30/07/2018,31/12/2024,24/10/2024
261160,202410,11.015.492/0001-05,ORATORIO DA DIVINA PROVIDENCIA,VIGENTE,2,01/01/2024,31/12/2028,24/10/2024
261160,202410,11.018.520/0001-48,CENTRO SOCIAL DON JOÃO COSTA,VIGENTE,2,01/01/2020,31/12/2025,24/10/2024
261160,202410,11.024.940/0001-37,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE RECIFE - PE,VIGENTE,2,25/04/2021,31/12/2025,24/10/2024
420690,202410,11.026.059/0001-75,APAE DE IBIRAMA,VIGENTE,2,06/04/2019,31/12/2025,24/10/2024
261160,202410,11.027.562/0001-45,ASSOCIACAO SAO VICENTE DE PAULO DO RECIFE,VIGENTE,2,11/10/2022,10/10/2025,24/10/2024
354340,202410,11.037.213/0001-04,ALVORADA ASSOCIAÇAO AMIGOS DE BOA VONTADE,VIGENTE,2,30/07/2018,31/12/2024,24/10/2024
500370,202410,01.105.188/0001-03,ASSOCIAÇÃO PESTALOZZI DE DOURADOS,VIGENTE,2,08/12/2019,31/12/2025,24/10/2024
411910,202410,11.055.458/0001-64,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE PIÊN,VIGENTE,2,31/10/2019,31/12/2025,24/10/2024
500740,202410,01.106.343/0001-06,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE RIO VERDE DE MATO GROSSO,VIGENTE,2,29/09/2018,31/12/2024,24/10/2024
330330,202410,11.064.550/0001-90,ESPAÇO MÚLTIPLO ORLA  ARTE. CULTURA. SAÚDE E INCLUSÃO SOCIAL,VIGENTE,2,30/11/2020,29/11/2025,24/10/2024
351500,202410,11.086.646/0001-50,INSTITUTO CASA DO CAMINHO IRMÃOS SAMARITANOS,VIGENTE,2,13/08/2021,31/12/2025,24/10/2024
230440,202410,11.088.218/0001-66,INSTITUTO DA PRIMEIRA INFÂNCIA - IPREDE,VIGENTE,2,08/12/2021,31/12/2025,24/10/2024
230440,202410,11.088.333/0001-30,PROJETO CRIANÇA FELIZ,VIGENTE,2,25/03/2021,31/12/2027,24/10/2024
410345,202410,01.110.976/0001-80,FUNDAÇÃO EDUCACIONAL PADRE LUIS LUISE,VIGENTE,2,29/05/2018,31/12/2024,24/10/2024
411520,202410,01.111.669/0001-13,ASSOCIAÇÃO CULTURAL E BENEFICENTE NOSSA  SENHORA DE SIÃO,VIGENTE,2,29/05/2018,31/12/2024,24/10/2024
520110,202410,01.113.810/0001-17,APAE ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ANÁPOLIS,VÁLIDA,1,23/10/2021,22/10/2024,24/10/2024
410240,202410,11.146.819/0001-88,PROJETO USINA DA CIDADANIA,VIGENTE,2,29/05/2018,31/12/2024,24/10/2024
354780,202410,01.118.143/0001-65,CENTRO SOCIAL HELIODOR HESSE,VIGENTE,2,28/04/2018,31/12/2024,24/10/2024
432185,202410,11.196.265/0001-23,ASSOCIAÇÃO  DE PAIS  E AMIGOS DOS EXCEPCIONAIS DE TRES PALMEIRAS RS,VIGENTE,2,05/08/2022,04/08/2025,24/10/2024
311860,202410,11.197.128/0001-03,ASSOCIAÇÃO MOVE CULTURA,VIGENTE,2,07/06/2022,06/06/2025,24/10/2024
421875,202410,11.201.022/0001-36,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE TUNÁPOLIS,VIGENTE,2,29/05/2018,31/12/2024,24/10/2024
316900,202410,11.201.851/0001-19,ASSOCIAÇÃO BRASILEIRA DAS INSTITUIÇÕES DE LONGA PERMANÊNCIA DE IDOSOS DA ZONA DA MATA E VERTENTES DE MINAS GERAIS - ABILPI,VIGENTE,2,26/04/2021,25/04/2026,24/10/2024
412840,202410,11.202.123/0001-21,ASSOCIAÇÃO DOS VOLUNTÁRIOS AVIVALISTAS DE URAÍ,VIGENTE,2,02/02/2019,31/12/2025,24/10/2024
355030,202410,11.204.981/0001-05,INSTITUTO NOVOS HORIZONTES,VIGENTE,2,30/07/2021,31/12/2025,24/10/2024
313505,202410,11.237.768/0001-08,CENTRO DE CONVIVENCIA FRATERNA FRANCISCO CANDIDO XAVIER,VIGENTE,2,11/05/2020,31/12/2024,24/10/2024
411950,202410,01.124.000/0001-66,ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE PIRAQUARA,VIGENTE,2,29/05/2021,31/12/2025,24/10/2024
421200,202410,01.124.111/0001-72,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE PALMA SOLA,VIGENTE,2,25/07/2019,31/12/2025,24/10/2024
521880,202410,01.126.465/0001-56,FUNDAÇÃO PRESBITERIANA DE EDUCAÇÃO,VIGENTE,2,29/05/2018,31/12/2024,24/10/2024
354340,202410,11.277.798/0001-30,INSTITUTO DE DESENVOLVIMENTO SOCIAL CAMINHANDO COM AMOR,VIGENTE,2,07/12/2022,06/12/2025,24/10/2024
310620,202410,11.285.782/0001-79,PRO-BEM ASSESSORIA E GESTÃO CRIANÇA,VIGENTE,2,28/04/2018,31/12/2024,24/10/2024
250750,202410,11.287.953/0001-07,CENTRO INTEGRADO DE AÇÕES COMUNITÁRIAS PELA VIDA,VIGENTE,2,27/03/2021,31/12/2027,24/10/2024
317020,202410,11.289.969/0001-40,ASSOCIAÇAO DESENVOLVENDO VIDA E MISSAO,VIGENTE,2,01/09/2019,31/12/2025,24/10/2024
355030,202410,11.300.462/0001-40,PROJETO CASULO,VIGENTE,2,30/07/2021,31/12/2025,24/10/2024
292740,202410,11.322.410/0001-75,ASSOCIAÇÃO PLENO CIDADÃO - ASPEC,VIGENTE,2,28/08/2021,31/12/2025,24/10/2024
230440,202410,11.331.808/0001-78,PROJETO COMUNITÁRIO SORRISO DA CRIANÇA,VIGENTE,2,02/12/2018,31/12/2024,24/10/2024
230440,202410,11.333.200/0001-82,PROJETO FRENTE BENEFICENTE PARA A CRIANÇA,VIGENTE,2,13/04/2020,31/12/2026,24/10/2024
500635,202410,11.336.786/0001-39,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE PARANHOS,VIGENTE,2,29/06/2018,31/12/2024,24/10/2024
431870,202410,11.345.869/0001-94,ASSOCIAÇÃO ARTE CULTURA PARA PAZ ISAURA MAIA,VIGENTE,2,03/09/2018,31/12/2024,24/10/2024
355700,202410,11.351.310/0001-77,ASSOCIACAO LUGAR DE AMOR E RESTAURACAO,VÁLIDA,1,28/02/2019,31/12/2023,24/10/2024
355030,202410,00.113.842/0001-50,CENTRO DE APOIO À CRIANÇA CARENTE COM CÂNCER,VIGENTE,2,30/07/2018,31/12/2024,24/10/2024
351880,202410,11.384.705/0001-76,ASSOCIAÇÃO DE VALORIZAÇÃO E INTEGRAÇÃO DA COMUNIDADE GUARULHOS,VIGENTE,2,06/09/2024,05/09/2027,24/10/2024
320150,202410,11.384.735/0001-82,FUNDAÇÃO IADE,VIGENTE,2,01/06/2020,31/12/2026,24/10/2024
520110,202410,01.139.179/0001-25,ASSOCIAÇAO MISSIONARIA EVANGELICA VIDA MISSAO VIDA,VIGENTE,2,06/09/2024,05/09/2027,24/10/2024
353790,202410,11.403.697/0001-68,CASA DE APOIO E INCLUSÃO SOCIAL AMOR DIVINO,VIGENTE,2,02/08/2019,31/12/2025,24/10/2024
420360,202410,11.408.672/0001-57,AMA - ASSOCIACAO DOS PAIS E AMIGOS DOS AUTISTAS DE CAMPOS NOVOS,VIGENTE,2,31/10/2021,30/10/2024,24/10/2024
411670,202410,01.141.854/0001-50,LAR SÃO ROQUE,VIGENTE,2,05/02/2020,31/12/2026,24/10/2024
